seq,id,title,category,impl_status,req_ref,screen,route,page_entry,depends_on,expected_files,verify,priority
11,C-SCR001-SAFETY-DETAIL-DRAWER,안전정보 상세 Drawer,COMPONENT,IMPLEMENT,"REQ-FUNC-049,053,054",SCR-001,`/`,`src/app/page.tsx`(사용처),DATA-SAFETY,`src/components/home/safety-detail-drawer.tsx`,MANUAL-EXTERNAL-LINKS,P0
12,C-SCR001-MATES-PREVIEW,최근 동행글 미리보기,COMPONENT,IMPLEMENT,REQ-FUNC-069(부분),SCR-001,`/`,`src/app/page.tsx`(사용처),API-MATES,`src/components/home/mates-preview.tsx`,E2E-PUBLIC-SMOKE,P1
13,C-SCR001-FOUNDER-SPLIT,free_traveler 소개 요약 Split,COMPONENT,IMPLEMENT,REQ-FUNC-057(부분),SCR-001,`/`,`src/app/page.tsx`(사용처),DATA-REPRESENTATIVE,`src/components/home/founder-split.tsx`,MANUAL-CONTENT-REVIEW,P1
14,C-SCR002-PROFILE-HERO,Profile Hero + 여행 지표 카드,COMPONENT,IMPLEMENT,REQ-FUNC-057,SCR-002,`/about`,`src/app/about/page.tsx`(사용처),DATA-REPRESENTATIVE,`src/components/about/profile-hero.tsx`,E2E-PUBLIC-SMOKE,P1
15,C-SCR002-INTRO-PHILOSOPHY,소개·철학 Split,COMPONENT,IMPLEMENT,REQ-FUNC-058,SCR-002,`/about`,`src/app/about/page.tsx`(사용처),DATA-REPRESENTATIVE,`src/components/about/intro-philosophy.tsx`,MANUAL-CONTENT-REVIEW,P1
16,C-SCR002-TIMELINE,여행 Timeline,COMPONENT,IMPLEMENT,REQ-FUNC-060,SCR-002,`/about`,`src/app/about/page.tsx`(사용처),DATA-REPRESENTATIVE,`src/components/about/timeline.tsx`,MANUAL-CONTENT-REVIEW,P1
17,C-SCR002-COUNTRY-CHIPS,방문 국가 Chip(권역별),COMPONENT,IMPLEMENT,REQ-FUNC-059,SCR-002,`/about`,`src/app/about/page.tsx`(사용처),DATA-REPRESENTATIVE,`src/components/about/country-chips.tsx`,MANUAL-CONTENT-REVIEW,P1
18,C-SCR002-GALLERY,여행 Gallery,COMPONENT,IMPLEMENT,"REQ-FUNC-061; REQ-NF-006,029",SCR-002,`/about`,`src/app/about/page.tsx`(사용처),DATA-REPRESENTATIVE,`src/components/about/gallery.tsx`,MANUAL-CONTENT-REVIEW; MANUAL-PERF-LIGHTHOUSE,P1
19,C-SCR002-MEMORABLE-CTA,기억에 남는 여행지 + CTA Banner,COMPONENT,IMPLEMENT,REQ-FUNC-063,SCR-002,`/about`,`src/app/about/page.tsx`(사용처),DATA-DESTINATIONS,`src/components/about/memorable-cta.tsx`,E2E-PUBLIC-SMOKE,P1
20,C-SCR002-CONTACT-LINKS,문의·SNS 링크,COMPONENT,IMPLEMENT,REQ-FUNC-062,SCR-002,`/about`,`src/app/about/page.tsx`(사용처),DATA-REPRESENTATIVE,`src/components/about/contact-links.tsx`,MANUAL-EXTERNAL-LINKS,P2
21,C-SCR003-INTRO-TABS,Intro Banner + Tabs Shell,COMPONENT,IMPLEMENT,"(조립 전용, 요구사항 없음)",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`(사용처),없음,`src/components/travel-tools/intro-tabs.tsx`,E2E-TRAVEL-TOOLS,P0
22,C-SCR003-FLIGHT-FORM,항공 조건 입력·요약·외부 이동,COMPONENT,IMPLEMENT,REQ-FUNC-011~018; REQ-NF-017,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`(사용처),C-GLOBAL-TOAST,"`src/components/travel-tools/flight-form.tsx`, `src/lib/validation/travel-dates.ts`",UNIT-TRAVEL-DATES; E2E-TRAVEL-TOOLS; MANUAL-EXTERNAL-LINKS,P0
23,C-SCR003-HOTEL-FORM,숙소 조건 입력·요약·외부 이동,COMPONENT,IMPLEMENT,REQ-FUNC-019~026; REQ-NF-017,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`(사용처),C-GLOBAL-TOAST,`src/components/travel-tools/hotel-form.tsx`,UNIT-TRAVEL-DATES; E2E-TRAVEL-TOOLS; MANUAL-EXTERNAL-LINKS,P0
24,C-SCR003-MATE-COMPOSER,동행 모집글 작성 Form(인증 게이트),COMPONENT,IMPLEMENT,"REQ-FUNC-027,028,031,032,080",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`(사용처),API-MATES; C-GLOBAL-POLICY-SAFETY-GUIDE,"`src/components/travel-tools/mate-composer-form.tsx`, `src/lib/validation/contact-detection.ts`",UNIT-CONTACT-DETECTION; E2E-MATE-AUTH,P0
25,C-SCR003-NONTRANSMIT-TIPS,비전달 고지 + Tip 3개,COMPONENT,IMPLEMENT,"REQ-FUNC-015,023",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`(사용처),없음,`src/components/travel-tools/nontransmit-tips.tsx`,E2E-TRAVEL-TOOLS,P1
26,C-SCR004-INTRO-CTA,Intro CTA Banner,COMPONENT,IMPLEMENT,(조립 전용),SCR-004,`/mates`,`src/app/mates/page.tsx`(사용처),없음,`src/components/mates/intro-cta.tsx`,E2E-MATE-AUTH,P1
27,C-SCR004-FILTER-SUMMARY,Filter + 결과 요약,COMPONENT,IMPLEMENT,REQ-FUNC-030,SCR-004,`/mates`,`src/app/mates/page.tsx`(사용처),API-MATES,`src/components/mates/filter-summary.tsx`,E2E-MATE-AUTH,P0
28,C-SCR004-LIST-GRID,동행글 목록 Card Grid,COMPONENT,IMPLEMENT,"REQ-FUNC-030,033,037",SCR-004,`/mates`,`src/app/mates/page.tsx`(사용처),API-MATES,`src/components/mates/list-grid.tsx`,E2E-MATE-AUTH,P0
29,C-SCR004-DETAIL-PANEL,"목록+상세 Split/Drawer, 작성자 액션",COMPONENT,IMPLEMENT,"REQ-FUNC-034,036,037,038,069(부분)",SCR-004,`/mates`,`src/app/mates/page.tsx`(사용처),API-MATES; API-MATE-REQUESTS; C-SCR004-PARTICIPATE-FLOW,`src/components/mates/detail-panel.tsx`,E2E-MATE-AUTH,P0
30,C-SCR004-PARTICIPATE-FLOW,참가 요청 제출(중복 차단),COMPONENT,IMPLEMENT,"REQ-FUNC-034,035",SCR-004,`/mates`,`src/app/mates/page.tsx`(사용처),API-MATE-REQUESTS,`src/components/mates/participate-request-form.tsx`,UNIT-MATE-STATE; E2E-MATE-AUTH,P0
31,C-SCR004-REPORT-MODAL,신고 버튼/모달,COMPONENT,IMPLEMENT,REQ-FUNC-039; REQ-NF-019,SCR-004,`/mates`,`src/app/mates/page.tsx`(사용처),API-MATE-REPORT,`src/components/mates/report-modal.tsx`,E2E-MATE-AUTH,P1
32,C-SCR004-BLOCK-ACTION,차단 실행 버튼,COMPONENT,IMPLEMENT,REQ-FUNC-040,SCR-004,`/mates`,`src/app/mates/page.tsx`(사용처),API-BLOCKLIST,`src/components/mates/block-button.tsx`,E2E-MATE-AUTH,P1
33,C-SCR004-STEPS-SAFETY,신청 방법 3단계 + 안전 안내 CTA,COMPONENT,IMPLEMENT,"(콘텐츠 Section, 요구사항 간접)",SCR-004,`/mates`,`src/app/mates/page.tsx`(사용처),없음,`src/components/mates/steps-safety-banner.tsx`,E2E-MATE-AUTH,P1
34,C-SCR005-AUTH-GUEST,Guest 로그인/가입/재설정 카드,COMPONENT,IMPLEMENT,REQ-FUNC-066,SCR-005,`/account`,`src/app/account/page.tsx`(사용처),API-AUTH-CALLBACK,`src/components/account/auth-guest.tsx`,E2E-MATE-AUTH; MANUAL-A11Y-KEYBOARD,P0
35,C-SCR005-PROFILE,Member 프로필 Form + 성인확인 배지,COMPONENT,IMPLEMENT,"REQ-FUNC-028,029",SCR-005,`/account`,`src/app/account/page.tsx`(사용처),DB-SCHEMA-BASE,`src/components/account/profile-form.tsx`,E2E-MATE-AUTH,P0
36,C-SCR005-MY-ACTIVITY,내 글·참가 요청·차단 목록,COMPONENT,IMPLEMENT,REQ-FUNC-040(관리),SCR-005,`/account`,`src/app/account/page.tsx`(사용처),API-MATES; API-BLOCKLIST,`src/components/account/my-activity.tsx`,E2E-MATE-AUTH,P0
37,C-SCR005-ADMIN-REPORTS,관리자 신고 상태 변경,COMPONENT,IMPLEMENT(간소화),REQ-FUNC-041,SCR-005,`/account`,`src/app/account/page.tsx`(사용처),API-ADMIN-REPORTS,`src/components/account/admin-reports.tsx`,E2E-MATE-AUTH,P1
38,C-SCR005-ADMIN-EXTERNAL-URL,관리자 외부 URL 설정,COMPONENT,IMPLEMENT,REQ-FUNC-077,SCR-005,`/account`,`src/app/account/page.tsx`(사용처),API-ADMIN-EXTERNAL-LINKS,`src/components/account/admin-external-links.tsx`,E2E-TRAVEL-TOOLS,P1
39,C-SCR005-ROLE-GATE,역할별 탭 렌더링/차단 로직,COMPONENT,IMPLEMENT,"(조립·보안 로직, REQ-FUNC-044 연계)",SCR-005,`/account`,`src/app/account/page.tsx`(사용처),DB-RLS-BASE,`src/components/account/role-gate.tsx`,TEST-RLS-BASIC; E2E-MATE-AUTH,P0
40,C-GLOBAL-TOAST,Toast/알림 컴포넌트,COMPONENT,IMPLEMENT(대체),REQ-FUNC-043,GLOBAL,없음(오버레이),N/A,없음,`src/components/ui/toast.tsx`,E2E-MATE-AUTH,P1
41,C-GLOBAL-SEO-HELPER,SEO 메타데이터 헬퍼,COMPONENT,IMPLEMENT,REQ-FUNC-070; REQ-NF-030,GLOBAL,없음,N/A,없음,`src/lib/seo.ts`,MANUAL-PERF-LIGHTHOUSE,P1
42,C-GLOBAL-NOT-FOUND,404 오류 화면,COMPONENT,IMPLEMENT,REQ-FUNC-078,N/A(기술 Route),`not_found`,`src/app/not-found.tsx`,없음,`src/app/not-found.tsx`,E2E-PUBLIC-SMOKE,P1
43,C-GLOBAL-ERROR-BOUNDARY,500/런타임 오류 바운더리,COMPONENT,IMPLEMENT,REQ-FUNC-078,N/A(기술 Route),`error_boundary`,`src/app/error.tsx`,없음,`src/app/error.tsx`,E2E-TRAVEL-TOOLS,P1
44,C-GLOBAL-NAV-FOOTER-EXTEND,Header/Footer 확장(신규 Route 반영),COMPONENT,IMPLEMENT,"REQ-FUNC-064,065,079",GLOBAL,전체 5개 Route,`src/app/layout.tsx`(사용처),없음,"`src/components/layout/header.tsx`, `src/components/layout/footer.tsx`(기존 파일 확장, 신규 생성 아님)",E2E-PUBLIC-SMOKE; MANUAL-A11Y-KEYBOARD,P0
45,C-GLOBAL-POLICY-TERMS,이용약관 정적 페이지,COMPONENT,IMPLEMENT,REQ-FUNC-080,N/A(정책 콘텐츠),`/terms`,`src/app/terms/page.tsx`,없음,`src/app/terms/page.tsx`,MANUAL-CONTENT-REVIEW,P2
46,C-GLOBAL-POLICY-PRIVACY,개인정보 처리방침 정적 페이지,COMPONENT,IMPLEMENT,REQ-FUNC-080,N/A(정책 콘텐츠),`/privacy`,`src/app/privacy/page.tsx`,없음,`src/app/privacy/page.tsx`,MANUAL-CONTENT-REVIEW,P2
47,C-GLOBAL-POLICY-SAFETY-GUIDE,동행 안전수칙 정적 페이지,COMPONENT,IMPLEMENT,REQ-FUNC-080,N/A(정책 콘텐츠),`/safety-guide`,`src/app/safety-guide/page.tsx`,없음,`src/app/safety-guide/page.tsx`,MANUAL-CONTENT-REVIEW,P2
48,DATA-DESTINATIONS,여행지 정적 데이터,DATA,IMPLEMENT,"REQ-FUNC-001,002,004,005,007,008,009,010; REQ-NF-026,029","SCR-001, SCR-002",N/A,N/A,없음,`src/data/destinations.ts`,MANUAL-CONTENT-REVIEW,P0
49,DATA-SAFETY,국가 안전정보 정적 데이터,DATA,IMPLEMENT,"REQ-FUNC-046,047,048,052,053; REQ-NF-027",SCR-001,N/A,N/A,DATA-DESTINATIONS,`src/data/safety.ts`,MANUAL-CONTENT-REVIEW,P0
50,DATA-REPRESENTATIVE,대표 소개 정적 데이터,DATA,IMPLEMENT,REQ-FUNC-057~062; REQ-NF-029,SCR-002,N/A,N/A,없음,`src/data/about.ts`,MANUAL-CONTENT-REVIEW,P0
51,DB-SCHEMA-BASE,Supabase 스키마(6개 테이블),DB,IMPLEMENT,"REQ-FUNC-028,029,031,035,040,041,044,066,077",N/A(백엔드),N/A,N/A,없음,`supabase/migrations/0001_schema.sql`,TEST-RLS-BASIC,P0
52,DB-RLS-BASE,Row Level Security 정책,DB,IMPLEMENT,REQ-FUNC-044; REQ-NF-013,N/A(백엔드),N/A,N/A,DB-SCHEMA-BASE,`supabase/migrations/0002_rls.sql`,TEST-RLS-BASIC,P0
53,DB-ACCESS,서버 데이터 접근 레이어,DB,IMPLEMENT,"REQ-FUNC-044; REQ-NF-014,015",N/A(백엔드),N/A,N/A,DB-SCHEMA-BASE; DB-RLS-BASE,`src/lib/supabase/queries.ts`,TEST-RLS-BASIC,P0
54,DB-SEED-BASE,개발·테스트 Seed 데이터,DB,IMPLEMENT,"(테스트 지원, 요구사항 간접)",N/A(백엔드),N/A,N/A,DB-SCHEMA-BASE,`supabase/seed.sql`,TEST-RLS-BASIC; E2E-MATE-AUTH,P1
55,API-MATES,동행글 목록·생성 API,API,IMPLEMENT,"REQ-FUNC-030,031","SCR-003, SCR-004",`/api/mates`,`src/app/api/mates/route.ts`,DB-SCHEMA-BASE; DB-RLS-BASE; DB-ACCESS,`src/app/api/mates/route.ts`,UNIT-MATE-STATE; TEST-RLS-BASIC,P0
56,API-MATE-REQUESTS,참가 요청·승인/거절 API,API,IMPLEMENT,"REQ-FUNC-034,035,036,037,038",SCR-004,`/api/mates/[id]/requests`,`src/app/api/mates/[id]/requests/route.ts`,API-MATES; DB-ACCESS,`src/app/api/mates/[id]/requests/route.ts`,UNIT-MATE-STATE; TEST-RLS-BASIC,P0
57,API-MATE-REPORT,신고 접수 API,API,IMPLEMENT,REQ-FUNC-039; REQ-NF-019,SCR-004,`/api/mates/[id]/report`,`src/app/api/mates/[id]/report/route.ts`,DB-ACCESS,`src/app/api/mates/[id]/report/route.ts`,TEST-RLS-BASIC,P1
58,API-BLOCKLIST,차단 실행/해제 API,API,IMPLEMENT,REQ-FUNC-040,"SCR-004, SCR-005",`/api/account/blocklist`,`src/app/api/account/blocklist/route.ts`,DB-ACCESS,`src/app/api/account/blocklist/route.ts`,TEST-RLS-BASIC,P1
59,API-ADMIN-REPORTS,관리자 신고 상태 변경 API,API,IMPLEMENT(간소화),REQ-FUNC-041,SCR-005,`/api/admin/reports`,`src/app/api/admin/reports/route.ts`,DB-ACCESS,`src/app/api/admin/reports/route.ts`,TEST-RLS-BASIC,P1
60,API-ADMIN-EXTERNAL-LINKS,관리자 외부 URL 설정 API,API,IMPLEMENT,REQ-FUNC-077,SCR-005,`/api/admin/external-links`,`src/app/api/admin/external-links/route.ts`,DB-ACCESS,`src/app/api/admin/external-links/route.ts`,TEST-RLS-BASIC,P1
61,API-AUTH-CALLBACK,Supabase 인증 콜백,API,IMPLEMENT,"REQ-FUNC-066,027",SCR-005,`/auth/callback`,`src/app/auth/callback/route.ts`,DB-SCHEMA-BASE,`src/app/auth/callback/route.ts`,E2E-MATE-AUTH,P0
62,UNIT-TRAVEL-DATES,날짜 검증 단위 테스트,UNIT_TEST,IMPLEMENT,"REQ-FUNC-013,021",SCR-003,N/A,N/A,C-SCR003-FLIGHT-FORM; C-SCR003-HOTEL-FORM,`src/lib/validation/travel-dates.test.ts`,RELEASE-CI-GATES,P0
63,UNIT-CONTACT-DETECTION,연락처 탐지 단위 테스트,UNIT_TEST,IMPLEMENT,REQ-FUNC-032,SCR-003,N/A,N/A,C-SCR003-MATE-COMPOSER,`src/lib/validation/contact-detection.test.ts`,RELEASE-CI-GATES,P0
64,UNIT-MATE-STATE,모집 상태·요청 상태 전이 단위 테스트,UNIT_TEST,IMPLEMENT,"REQ-FUNC-035,036,037",SCR-004,N/A,N/A,API-MATE-REQUESTS,`src/lib/mates/status.test.ts`,RELEASE-CI-GATES,P0
65,TEST-RLS-BASIC,RLS 정책 기본 통합 테스트,INTEGRATION_TEST,IMPLEMENT,REQ-FUNC-044; REQ-NF-013,N/A(백엔드),N/A,N/A,DB-RLS-BASE; DB-SEED-BASE,`tests/rls/rls.spec.ts`,RELEASE-CI-GATES,P0
66,E2E-PUBLIC-SMOKE,공개 흐름 Chromium Smoke(2개 흐름),E2E_TEST,IMPLEMENT,"REQ-FUNC-001,004,006,046~054,057~063,064,065,078","SCR-001, SCR-002","`/`, `/about`",N/A,PAGE-SCR001; PAGE-SCR002,"`playwright.config.ts`, `tests/e2e/public-smoke.spec.ts`",RELEASE-CI-GATES,P0
67,E2E-TRAVEL-TOOLS,여행 준비 Chromium Smoke(2개 흐름),E2E_TEST,IMPLEMENT,REQ-FUNC-011~026,SCR-003,`/travel-tools`,N/A,PAGE-SCR003,`tests/e2e/travel-tools.spec.ts`,RELEASE-CI-GATES,P0
68,E2E-MATE-AUTH,동행·인증 Chromium Smoke(3개 흐름),E2E_TEST,IMPLEMENT,"REQ-FUNC-027,028,034,036,039,040,066","SCR-003, SCR-004, SCR-005","`/travel-tools`, `/mates`, `/account`",N/A,PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,`tests/e2e/mate-auth.spec.ts`,RELEASE-CI-GATES,P0
69,MANUAL-CONTENT-REVIEW,콘텐츠 완전성·출처 수동 검수,MANUAL_CHECK,IMPLEMENT,"REQ-FUNC-007,008,046,061; REQ-NF-026,027,029","SCR-001, SCR-002",N/A,N/A(코드 파일 없음),DATA-DESTINATIONS; DATA-SAFETY; DATA-REPRESENTATIVE,"없음(수동 점검, 코드 파일 없음)",자기완결(본 Task가 곧 Verify),P1
70,MANUAL-A11Y-KEYBOARD,키보드·스크린리더 수동 점검,MANUAL_CHECK,IMPLEMENT(부분),"REQ-FUNC-079; REQ-NF-023,025",SCR-001~005,N/A,N/A(코드 파일 없음),PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,"없음(수동 점검, 코드 파일 없음)",자기완결,P1
71,MANUAL-RESPONSIVE-VISUAL,Desktop/Mobile 시각·리듬 점검,MANUAL_CHECK,IMPLEMENT,"REQ-FUNC-064,065",SCR-001~005,N/A,N/A(코드 파일 없음),PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,"없음(수동 점검, 코드 파일 없음)",자기완결,P0
72,MANUAL-PERF-LIGHTHOUSE,Lighthouse 수동 실행,MANUAL_CHECK,IMPLEMENT(best-effort),"REQ-NF-001,002,003,006",SCR-001~005,N/A,N/A(코드 파일 없음),PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,"없음(수동 점검, 코드 파일 없음)",자기완결,P2
73,MANUAL-EXTERNAL-LINKS,외부 링크·미전송 수동 점검,MANUAL_CHECK,IMPLEMENT,"REQ-FUNC-016,018,024,026,049; REQ-NF-017","SCR-001, SCR-003",N/A,N/A(코드 파일 없음),C-SCR003-FLIGHT-FORM; C-SCR003-HOTEL-FORM; C-SCR001-SAFETY-DETAIL-DRAWER,"없음(수동 점검, 코드 파일 없음)",자기완결,P0
74,RELEASE-CI-GATES,CI 파이프라인(lint/build/test),RELEASE_CHECK,IMPLEMENT,REQ-NF-031,N/A,N/A,N/A,UNIT-TRAVEL-DATES; UNIT-CONTACT-DETECTION; UNIT-MATE-STATE; TEST-RLS-BASIC; E2E-PUBLIC-SMOKE; E2E-TRAVEL-TOOLS; E2E-MATE-AUTH,`.github/workflows/ci.yml`,자기완결,P0
75,RELEASE-VERCEL-DEPLOY-CHECK,Vercel 배포·환경변수 확인,RELEASE_CHECK,IMPLEMENT,"REQ-NF-012,016,034",N/A,N/A,N/A,RELEASE-CI-GATES,"없음(환경 설정 확인, 코드 파일 없음)",자기완결,P1
76,RELEASE-SUPABASE-CHECK,Supabase 프로젝트·RLS·Auth 확인,RELEASE_CHECK,IMPLEMENT,"REQ-NF-013,014",N/A,N/A,N/A,DB-RLS-BASE; DB-SCHEMA-BASE,"없음(환경 설정 확인, 코드 파일 없음)",자기완결,P1
